Symbol	Description
ORZ27	Dollar/Rand {Dec 27}
ORZ28	Dollar/Rand {Dec 28}
ORZ29	Dollar/Rand {Dec 29}
PK	Pound/Krone
PKH25	Pound/Krone {Mar 25}
PKH26	Pound/Krone {Mar 26}
PKM25	Pound/Krone {Jun 25}
PKU25	Pound/Krone {Sep 25}
PKZ25	Pound/Krone {Dec 25}
PP	Japanese Yen
PPH25	Japanese Yen {Mar 25}
PPH26	Japanese Yen {Mar 26}
PPM25	Japanese Yen {Jun 25}
PPU25	Japanese Yen {Sep 25}
PPZ25	Japanese Yen {Dec 25}
PR	Canadian Dollar
PRH25	Canadian Dollar {Mar 25}
PRH26	Canadian Dollar {Mar 26}
PRM25	Canadian Dollar {Jun 25}
PRU25	Canadian Dollar {Sep 25}
PRZ25	Canadian Dollar {Dec 25}
PS	Pound/Krona
PSH25	Pound/Krona {Mar 25}
PSH26	Pound/Krona {Mar 26}
PSM25	Pound/Krona {Jun 25}
PSU25	Pound/Krona {Sep 25}
PSZ25	Pound/Krona {Dec 25}
PV	Pound/Australian
PVH25	Pound/Australian {Mar 25}
PVH26	Pound/Australian {Mar 26}
PVM25	Pound/Australian {Jun 25}
PVU25	Pound/Australian {Sep 25}
PVZ25	Pound/Australian {Dec 25}
PW	Pound/Canadian
PWH25	Pound/Canadian {Mar 25}
PWH26	Pound/Canadian {Mar 26}
PWM25	Pound/Canadian {Jun 25}
PWU25	Pound/Canadian {Sep 25}
PWZ25	Pound/Canadian {Dec 25}
PX	Pound/Rand
PXH25	Pound/Rand {Mar 25}
PXH26	Pound/Rand {Mar 26}
PXM25	Pound/Rand {Jun 25}
PXU25	Pound/Rand {Sep 25}
PXZ25	Pound/Rand {Dec 25}
PY	Euro/Rand
PYH25	Euro/Rand {Mar 25}
PYH26	Euro/Rand {Mar 26}
PYM25	Euro/Rand {Jun 25}
PYU25	Euro/Rand {Sep 25}
PYZ25	Euro/Rand {Dec 25}
PZ	Swiss Franc
PZH25	Swiss Franc {Mar 25}
PZH26	Swiss Franc {Mar 26}
PZM25	Swiss Franc {Jun 25}
PZU25	Swiss Franc {Sep 25}
PZZ25	Swiss Franc {Dec 25}
R1H25	MSCI Canada Index {Mar 25}
R1H26	MSCI Canada Index {Mar 26}
R1M25	MSCI Canada Index {Jun 25}
R1M26	MSCI Canada Index {Jun 26}
R1U25	MSCI Canada Index {Sep 25}
R1Z25	MSCI Canada Index {Dec 25}
R2H25	MSCI World Index {Mar 25}
R2H26	MSCI World Index {Mar 26}
R2M25	MSCI World Index {Jun 25}
R2M26	MSCI World Index {Jun 26}
R2U25	MSCI World Index {Sep 25}
R2Z25	MSCI World Index {Dec 25}
RK	Euro/Krona
RKH25	Euro/Krona {Mar 25}
RKH26	Euro/Krona {Mar 26}
RKM25	Euro/Krona {Jun 25}
RKU25	Euro/Krona {Sep 25}
RKZ25	Euro/Krona {Dec 25}
RZ	Euro/Swiss
RZH25	Euro/Swiss {Mar 25}
RZH26	Euro/Swiss {Mar 26}
RZM25	Euro/Swiss {Jun 25}
RZU25	Euro/Swiss {Sep 25}
RZZ25	Euro/Swiss {Dec 25}
S2H25	MSCI EMLA Index {Mar 25}
S2H26	MSCI EMLA Index {Mar 26}
S2M25	MSCI EMLA Index {Jun 25}
S2M26	MSCI EMLA Index {Jun 26}
S2U25	MSCI EMLA Index {Sep 25}
S2Z25	MSCI EMLA Index {Dec 25}
SB	Sugar #11
SBH26	Sugar #11 {Mar 26}
SBH27	Sugar #11 {Mar 27}
SBH28	Sugar #11 {Mar 28}
SBK25	Sugar #11 {May 25}
SBK26	Sugar #11 {May 26}
SBK27	Sugar #11 {May 27}
SBN25	Sugar #11 {Jul 25}
SBN26	Sugar #11 {Jul 26}
SBN27	Sugar #11 {Jul 27}
SBV25	Sugar #11 {Oct 25}
SBV26	Sugar #11 {Oct 26}
SBV27	Sugar #11 {Oct 27}
SD	Sugar #16
SDF26	Sugar #16 {Jan 26}
SDF27	Sugar #16 {Jan 27}
SDH26	Sugar #16 {Mar 26}
SDH27	Sugar #16 {Mar 27}
SDK25	Sugar #16 {May 25}
SDK26	Sugar #16 {May 26}
SDN25	Sugar #16 {Jul 25}
SDN26	Sugar #16 {Jul 26}
SDU25	Sugar #16 {Sep 25}
SDU26	Sugar #16 {Sep 26}
SDX25	Sugar #16 {Nov 25}
SDX26	Sugar #16 {Nov 26}
SS	Pound/Swiss
SSH25	Pound/Swiss {Mar 25}
SSH26	Pound/Swiss {Mar 26}
SSM25	Pound/Swiss {Jun 25}
SSU25	Pound/Swiss {Sep 25}
SSZ25	Pound/Swiss {Dec 25}
SY	Pound/Yen
SYH25	Pound/Yen {Mar 25}
SYH26	Pound/Yen {Mar 26}
SYM25	Pound/Yen {Jun 25}
SYU25	Pound/Yen {Sep 25}
SYZ25	Pound/Yen {Dec 25}
UY	Dollar/Forint
UYH25	Dollar/Forint {Mar 25}
UYH26	Dollar/Forint {Mar 26}
UYM25	Dollar/Forint {Jun 25}
UYU25	Dollar/Forint {Sep 25}
UYZ25	Dollar/Forint {Dec 25}
UZ	Dollar/Koruna
UZH25	Dollar/Koruna {Mar 25}
UZH26	Dollar/Koruna {Mar 26}
UZM25	Dollar/Koruna {Jun 25}
UZU25	Dollar/Koruna {Sep 25}
UZZ25	Dollar/Koruna {Dec 25}
YA	Aussie/Yen
YAH25	Aussie/Yen {Mar 25}
YAH26	Aussie/Yen {Mar 26}
YAM25	Aussie/Yen {Jun 25}
YAU25	Aussie/Yen {Sep 25}
YAZ25	Aussie/Yen {Dec 25}
YO	Mexican Peso
YOH25	Mexican Peso {Mar 25}
YOH26	Mexican Peso {Mar 26}
YOM25	Mexican Peso {Jun 25}
YOU25	Mexican Peso {Sep 25}
YOZ25	Mexican Peso {Dec 25}
YP	Pound/Dollar
YPH25	Pound/Dollar {Mar 25}
YPH26	Pound/Dollar {Mar 26}
YPM25	Pound/Dollar {Jun 25}
YPU25	Pound/Dollar {Sep 25}
YPZ25	Pound/Dollar {Dec 25}
ZJ	New Zealand/Yen
ZJH25	New Zealand/Yen {Mar 25}
ZJH26	New Zealand/Yen {Mar 26}
ZJM25	New Zealand/Yen {Jun 25}
ZJU25	New Zealand/Yen {Sep 25}
ZJZ25	New Zealand/Yen {Dec 25}
ZY	Swiss/Yen
ZYH25	Swiss/Yen {Mar 25}
ZYH26	Swiss/Yen {Mar 26}
ZYM25	Swiss/Yen {Jun 25}
ZYU25	Swiss/Yen {Sep 25}
ZYZ25	Swiss/Yen {Dec 25}
